Source,Reference,Source Title,Reference Title
85,105,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022","Act 173 Advisory Group Draft Report to the General Assembly Meeting: January 9, 2023"
233,13,History of IDEA,"Public Assets Institute BLOG:  Cutting school funding now is a bad idea ( Stephanie Yu on May 20, 2020)"
127,331,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",STATE OF VERMONT OFFICE OF LEGISLATIVE COUNCIL
255,28,Reference request for UVM Report (2-3-2016),"Act 173 Advisory Group Act 173 - Disability Law Project Proposed Revisions #1 to Rule 1300 October 7, 2019"
262,335,Supreme Court ruling could impact school choice in Vermont,The Commissioner of the Vermont Department of Mental Health or designee;
250,138,Member of the Census-Based Funding Advisory Group:  The Executive Director of the Vermont Superintendents Association or designee;,Act 173 Advisory Group Schedule of Meetings for 2023 Feb 6/2023)
354,132,"Vermont Tax Structure Commission (PREPARED IN ACCORDANCE WITH ACT 11, SEC.H.17 OF THE 2018 SPECIAL LEGISLATIVE SESSION
)  (Feb 8, 2021)","Act 173 Advisory Group Memo from Simmons to State Board Committee and Act 173 Advisory Group re: Rule 2229.4  February 7, 2022"
24,23,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs
232,241,History of Education in Vermont By George Gary Bush,Local Education Agency Plan FY24: Assurances for IDEA Part B (Fillable Form)
206,203,"Census-Based Funding Advisory Group Summary of Agency of Education's Proposed Changes to Act 173  January 7, 2019 (Act 173 Advisory Group)",Census-Based Funding Advisory Group Report to the House and Senate Education Committees and State Board of Education - January 2023
340,112,US Senate Committee: HELP,"Act 173 Advisory Group Meeting - January 3, 2022"
70,84,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019","Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022"
167,249,"Act 173 Technical Assicatance and Professional Learning Presentation April 1, 2019 (Act 173 Advisory Group)",Member of Census-Based Funding Advisory Group:: The Executive Director of the Vermont Principals’ Association or designee;
99,284,"Act 173 Advisory Group Draft Minutes from November 4, 2019","State Board of Education Articles of Agreement: Windham Northeast UESD November 30, 2018 (Act 46)"
61,313,"Act 173 Advisory Group Approved Minutes October 4, 2021","State Board of Education News Letter to General Assembly from Secretary French and Dr. Kolbe regarding Background and Remaining Points of Disagreement in SBE/AOE Legislative Report. August 4, 2022"
348,155,"Vermont Estimated IDEA Award Amount for Federal Fiscal Year 2019 (March 14, 2019)","Census-Based Funding Advisory Group Agenda - March 4, 2019 (Act 173 Advisory Group)"
282,267,"State Board of Education Articles of Agreement: Lamoille South UUSD November 30, 2018 (Act 46)",Bill proposes mandatory civics education in Vermont schools
74,69,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,"Act 173 Advisory Group December Meeting.  December 6, 2021"
229,14,"FY23 Act 173 General Instructions for Section D September 1,2020","Public Assets Institute BLOG:  No school tax increase for COVID shortfall (Paul Cillo on October 23, 2020)"
308,234,"State Board of Education Memo.  State Board of Education-Statement of Preparedness for Ripton School District  August 12, 2022",IDEA
103,290,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting","State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021"
356,19,"VT Department of Taxes (The Education Fund and Education Finance Oct. 27, 2020)",Public Assets Institute:  School finance in Vermont: Balancing equal education and fair tax burdens
164,117,"Act 173 of 2018 - Overview (Oct 12,2018)","Act 173 Advisory Group Meeting Agenda: December 5, 2022"
264,301,South Burlington:  School Board,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022"
128,108,"Act 173 Advisory Group Meeting: May 2, 2022Questions and Answers on draft MOE Documentation Technical Guide","Act 173 Advisory Group Draft Special Minutes from February 3, 2020"
319,308,"State Board of Education News State Board of Education Member List July 26, 2022","State Board of Education Memo.  State Board of Education-Statement of Preparedness for Ripton School District  August 12, 2022"
265,130,"Special Education Expenditure Report for FY-2022 September 13,2021","Act 173 Advisory Group Meeting: September 12, 2022  Responses to public comments on the Draft Technical Manual For Use and Accounting of IDEA Part B Entitlement Grants and Draft Technical Manual for Documenting Maintenance of Effort"
281,133,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ","Act 173 Advisory Group Revised Version 3 - Rule 1300 - Agency of Education's Proposed State Rules for Special Education Finance and Census Based Funding November 4, 2019"
6,56,VCSEA,"Act 173 Advisory Group Approved Meeting Minutes - July 13, 2020"
10,90,"Public Assets Institute BLOG:  A big opportunity to improve school funding (Jack Hoffman on February 24, 2022)","Act 173 Advisory Group Draft Minutes from August 3, 2020"
272,85,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018","Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022"
88,233,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",History of IDEA
351,134,Vermont Secretary of State: Preserved documents,Act 173 Advisory Group Rule 2229 Proposed Changes from Education Partners
272,45,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018","Act 173 Advisory Group Agenda - May 4, 2020"
188,283,"Census-Based Funding Advisory Group Approved Minutes from January 7, 2019 (Act 173 Advisory Group)","State Board of Education Articles of Agreement: Washington Central UUSD November 30, 2018 (Act 46)"
113,304,"Act 173 Advisory Group Meeting Agenda - March 7, 2022","State Board of Education Memo State Board of Education Memo to the House and Senate Education Committees on Establishing the Census Rate in H.897 March 21, 2018"
271,241,"State Board of Education  Memo: Act 46 Schedule and Process  May 31, 2018",Local Education Agency Plan FY24: Assurances for IDEA Part B (Fillable Form)
116,187,"Act 173 Advisory Group Meeting Agenda: December 5, 2022","Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)"
293,117,State Board of Education Meetings for 2023 - 2024,"Act 173 Advisory Group Meeting Agenda: December 5, 2022"
135,200,"Act 173 Advisory Group Rule Series 1300 - Side by Side February 3, 2020","Census-Based Funding Advisory Group Professional Learning Sequence Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)"
135,119,"Act 173 Advisory Group Rule Series 1300 - Side by Side February 3, 2020","Act 173 Advisory Group Meeting Agenda: September 12, 2022"
280,353,"State Board of Education Articles of Agreement: Enosburgh-Richford UUSD November 30, 2018 (Act 46)","Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017"
31,349,"Act 173 Advisory Group Act 173 Summary of Technical Guidance September 16, 2019",
258,172,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020","Aportela, Picus, Odden & Fermanich, 2014"
187,284,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)","State Board of Education Articles of Agreement: Windham Northeast UESD November 30, 2018 (Act 46)"
